NUTS_ID,weighted_avg_Value
UKC1,7.784938830517247
UKC2,7.176540201480771
UKD1,6.081892239653368
UKD3,10.578061406601252
UKD4,7.238590605167064
UKD6,6.7495540472072895
UKD7,10.305489468477612
UKE1,5.28818726645669
UKE2,6.751838055612827
UKE3,8.303390099118086
UKE4,9.202373801434202
UKF1,6.812718223497484
UKF2,6.07097918563901
UKF3,4.939915930013052
UKG1,6.034192673897467
UKG2,6.193724115844016
UKG3,12.564421790721077
UKH1,5.384981917841343
UKH2,6.461657017300671
UKH3,5.948638289016424
UKI3,14.492799919273164
UKI4,14.621396487620723
UKI5,12.267433157593235
UKI6,12.625291424639014
UKI7,12.716680811576067
UKJ1,6.4292792865125845
UKJ2,7.466987223513116
UKJ3,7.0136132045795545
UKJ4,6.561364678312003
UKK1,6.084999866510906
UKK2,6.273033836346007
UKK3,6.081545051758946
UKK4,6.256303718215824
UKL1,6.575088401439071
UKL2,6.241734773496364
UKM5,8.151516572679936
UKM6,10.487305869961178
UKM7,7.576935008206581
UKM8,9.089884873281509
UKM9,7.009925393975089
